instance_sn,role,app_name,cpu_request,cpu_limit,gpu_request,gpu_limit,rdma_request,rdma_limit,memory_request,memory_limit,disk_request,disk_limit,max_instance_per_node,creation_time,scheduled_time,deletion_time,estimated_runtime
instance_7381,CN,app_107,96,96,0,0,1,1,600.0,600.0,255.0,300.0,-1,32919.0,32963.0,35534.0,2615.0
instance_7382,CN,app_54,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,33005.0,33018.0,141592.0,108587.0
instance_7383,CN,app_26,48,48,0,0,1,1,300.0,300.0,384.0,480.0,-1,33444.0,33445.0,1812989.0,1779545.0
instance_7384,CN,app_82,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,33606.0,33606.0,33735.0,129.0
instance_7385,CN,app_37,96,96,0,0,51,51,480.0,480.0,340.0,400.0,-1,33934.0,33978.0,41806.0,7872.0
instance_7386,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,34345.0,34345.0,47392.0,13047.0
instance_7387,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,34345.0,34345.0,43330.0,8985.0
instance_7388,CN,app_44,192,192,0,0,51,51,960.0,960.0,340.0,400.0,-1,35035.0,35035.0,1227312.0,1192277.0
instance_7389,CN,app_18,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,35985.0,35985.0,37800.0,1815.0
instance_7390,CN,app_92,192,192,0,0,51,51,960.0,960.0,340.0,400.0,-1,37034.0,37034.0,205314.0,168280.0
instance_7391,CN,app_18,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,37319.0,37320.0,46144.0,8825.0
instance_7392,CN,app_20,64,64,0,0,1,1,320.0,320.0,544.0,640.0,-1,37319.0,37320.0,46243.0,8924.0
instance_7393,CN,app_22,64,64,0,0,1,1,320.0,320.0,544.0,640.0,-1,37319.0,37350.0,46598.0,9279.0
instance_7394,CN,app_0,48,48,0,0,25,25,200.0,200.0,680.0,800.0,2,37319.0,37320.0,44367.0,7048.0
